FromYear;ToYear;OpenAthletesSeniorEligibleToYear;ObservedInSeniorToYear;ObservedInSeniorPercent;StillOpenToYear;AbsentFromFrenchEmsToYear
2023;2024;7;0;0.0;4;3
2024;2025;6;0;0.0;4;2
