Year;CompetitionsPerAthlete;Athletes;SharePercent;ApprovedEntries
2024;1;66;34.6;66
2024;2;42;22.0;84
2024;3;23;12.0;69
2024;4;22;11.5;88
2024;5;18;9.4;90
2024;6;9;4.7;54
2024;7;5;2.6;35
2024;8;1;0.5;8
2024;9;3;1.6;27
2024;13;2;1.0;26
