Year;CompetitionCode;CompetitionName;ChampionshipBlock;TitleEligible;PopulationGroup;Category;CategoryOrder;Sex;Age;Division;Event;AthleteKey;Name;Country;IsFrench;CategoryRaw
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;JUNIOR;U17;17;M;15;;SLALOM;FRA|2008|GEORGES MATTEO;GEORGES Matteo;FRA;1;-17 M (15)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;JUNIOR;U17;17;M;15;;SAUT;FRA|2008|GEORGES MATTEO;GEORGES Matteo;FRA;1;-17 M (15)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;JUNIOR;U17;17;M;16;;SLALOM;FRA|2007|GERMAIN PIERRE LOUIS;GERMAIN Pierre Louis;FRA;1;-17 M (16)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;JUNIOR;U17;17;M;16;;FIGURES;FRA|2007|GERMAIN PIERRE LOUIS;GERMAIN Pierre Louis;FRA;1;-17 M (16)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;JUNIOR;U17;17;M;15;;SLALOM;FRA|2008|GILG GASPARD;GILG Gaspard;FRA;1;-17 M (15)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;JUNIOR;U17;17;M;15;;FIGURES;FRA|2008|GILG GASPARD;GILG Gaspard;FRA;1;-17 M (15)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;JUNIOR;U17;17;M;15;;SAUT;FRA|2008|GILG GASPARD;GILG Gaspard;FRA;1;-17 M (15)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;JUNIOR;U17;17;M;15;;COMBINE;FRA|2008|GILG GASPARD;GILG Gaspard;FRA;1;-17 M (15)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U10;10;M;9;;SLALOM;FRA|2014|GILG MARTIN;GILG Martin;FRA;1;-10 M (9)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U10;10;M;9;;FIGURES;FRA|2014|GILG MARTIN;GILG Martin;FRA;1;-10 M (9)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U10;10;F;10;;SLALOM;FRA|2013|LACARRAU JULIA;LACARRAU Julia;FRA;1;-10 F (10)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U14;14;F;13;;SLALOM;FRA|2010|LE FORESTIER MAELYS;LE FORESTIER Maelys;FRA;1;-14 F (13)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U14;14;F;13;;FIGURES;FRA|2010|LE FORESTIER MAELYS;LE FORESTIER Maelys;FRA;1;-14 F (13)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U14;14;F;13;;SAUT;FRA|2010|LE FORESTIER MAELYS;LE FORESTIER Maelys;FRA;1;-14 F (13)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U14;14;F;13;;COMBINE;FRA|2010|LE FORESTIER MAELYS;LE FORESTIER Maelys;FRA;1;-14 F (13)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U14;14;M;14;;SLALOM;MAR|2009|MAUMY AURELIEN;MAUMY Aurélien;MAR;0;-14 M (14)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U14;14;M;14;;FIGURES;MAR|2009|MAUMY AURELIEN;MAUMY Aurélien;MAR;0;-14 M (14)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U10;10;M;10;;SLALOM;FRA|2013|MAUMY EMIL;MAUMY Emil;FRA;1;-10 M (10)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U10;10;M;10;;FIGURES;FRA|2013|MAUMY EMIL;MAUMY Emil;FRA;1;-10 M (10)
