Year;CompetitionCode;CompetitionDate;CompetitionName;CompetitionType;TotalApproved;FrenchApproved;ForeignApproved;FrenchSharePercent;UniqueAthletes;UniqueFrench
2025;25FRA016;10-11 Jul 2025;Championnat de France RELEVES 2025;NatCH;23;22;1;95.7;23;22
2025;25FRA032;11-12 Oct 2025;BAURECH SLALOM SERIES 4RD;INTER;37;18;19;48.6;37;18
2025;25FRA206;12-13 Jul 2025;Championnat de France U21 + OPEN;NatCH;28;27;1;96.4;28;27
2025;25FRA006;13-14 Sep 2025;LACANAU SKI CLASSIC;INTER;41;27;14;65.9;41;27
2025;25FRA025;13-14 Sep 2025;Legends of Ezylake;INTER;26;19;7;73.1;26;19
2025;25FRA037;13-14 Sep 2025;Championnat Ligue Grand Est et Coupe Richard Odin;INTER;17;17;0;100.0;17;17
2025;25FRA023;14-15 Jun 2025;Tours 3D Event - Championnat de ligue CVL;INTER;20;20;0;100.0;20;20
2025;25FRA030;14-15 Jun 2025;BAURECH Slalom CUP / 4 RDS;INTER;37;26;11;70.3;37;26
2025;25FRA018;19-20 Jul 2025;Championnat de France SENIOR 2025;NatCH;37;32;5;86.5;37;32
2025;25FRA019;2-3 Aug 2025;Championnats du mont de Laroche;INTER;21;20;1;95.2;21;20
2025;25FRA031;2-3 Aug 2025;BAURECH 3 EVENTS- RL 3 RDS/ Events;INTER;33;21;12;63.6;33;21
2025;25FRA002;20-21 Sep 2025;Viry Lake's challenge #7;INTER;29;21;8;72.4;29;21
2025;25FRA029;20-21 Sep 2025;Jano's Cup 25;INTER;18;7;11;38.9;18;7
2025;25FRA001;21-22 Jun 2025;THE FUNGLISS PRO AM;INTER;44;17;27;38.6;44;17
2025;25FRA024;23-24 Aug 2025;Biggie's International + senior tour stop 4;INTER;17;11;6;64.7;17;11
2025;25FRA028;23-24 Aug 2025;Austin's Cup 25;INTER;28;12;16;42.9;28;12
2025;25FRA010;26-27 Jul 2025;Magic Challenge;INTER;21;14;7;66.7;21;14
2025;25FRA009;27-28 Sep 2025;Magic Ski Time;INTER;31;18;13;58.1;31;18
2025;25FRA011;28-29 Jun 2025;Le Trophée d'Arc;INTER;29;22;7;75.9;29;22
2025;25FRA013;28-29 Jun 2025;LE PLAN D'EAU 3D 1/2 30ème anniversaire;INTER;36;17;19;47.2;36;17
2025;25FRA208;3-4 Oct 2025;Championnat de Ligue AURA 2025;INTER;34;19;15;55.9;34;19
2025;25FRA026;30-31 Aug 2025;Coupe du pays de Montbeliard- Championnat Ligue BFC;INTER;23;15;8;65.2;23;15
2025;25FRA008;31 May - 1 Jun 2025;Magic Cup;INTER;29;10;19;34.5;29;10
2025;25FRA022;4 Jul 2025;Aquacup (2+1);INTER;14;13;1;92.9;14;13
2025;25FRA014;4-5 Oct 2025;LE PLAN D'EAU 3D 2/2 30ème anniversaire;INTER;32;17;15;53.1;32;17
2025;25FRA005;5-6 Jul 2025;MALIBU OPEN;INTER;47;25;22;53.2;47;25
2025;25FRA027;5-6 Jul 2025;Vinney's Cup 25;INTER;26;10;16;38.5;26;10
2025;25FRA217;6-7 Sep 2025;New !!! Championnats de Ligue NAQU Mémorial Michel Naudinat;INTER;35;34;1;97.1;35;34
2025;25FRA021;7-8 Jun 2025;Ezylake's cup;INTER;14;10;4;71.4;14;10
