"Date";"Discipline";"Type";"Homol.";"Country";"Name";"Colonne_7";"Site";"EMS Code";"Nat. Code";"CompetitionUrl"
"21-22 Jun 2025";"Waterski";"INTER";"R";"FRA";"THE FUNGLISS PRO AM";"";"FUNGLISS DOMMA...";"25FRA001";"";"https://ems.iwwf.sport/Competitions/Details?Id=763e237f-11ae-444b-b7ac-99d187a4f2e6"
"20-21 Sep 2025";"Waterski";"INTER";"L";"FRA";"Viry Lake's challenge #7";"";"Club Nautique ...";"25FRA002";"";"https://ems.iwwf.sport/Competitions/Details?Id=d43955ff-ea5e-4bb3-90b9-bb839670dca1"
"5-6 Jul 2025";"Waterski";"INTER";"L";"FRA";"MALIBU OPEN";"";"Lacanau Ski Cl...";"25FRA005";"";"https://ems.iwwf.sport/Competitions/Details?Id=cd906de0-500c-4837-a3ac-75e38c94e662"
"13-14 Sep 2025";"Waterski";"INTER";"L";"FRA";"LACANAU SKI CLASSIC";"";"Lacanau Ski Cl...";"25FRA006";"";"https://ems.iwwf.sport/Competitions/Details?Id=f41796c9-e206-4a9b-a515-9511ab0f1dde"
"31 May - 1 Jun 2025";"Waterski";"INTER";"L";"FRA";"Magic Cup";"";"Nemours Grez/l...";"25FRA008";"";"https://ems.iwwf.sport/Competitions/Details?Id=83e0f2e3-864b-46cd-aac8-4fe927a89bf2"
"27-28 Sep 2025";"Waterski";"INTER";"L";"FRA";"Magic Ski Time";"";"Nemours Grez/l...";"25FRA009";"";"https://ems.iwwf.sport/Competitions/Details?Id=1a9f8897-489e-4d0d-99fa-1ec968e49732"
"26-27 Jul 2025";"Waterski";"INTER";"L";"FRA";"Magic Challenge";"";"Nemours Grez/l...";"25FRA010";"";"https://ems.iwwf.sport/Competitions/Details?Id=f1acd551-cb8f-4e8c-b203-bc394676b734"
"28-29 Jun 2025";"Waterski";"INTER";"L";"FRA";"Le Trophée d'Arc";"";"Club Arc Dijon...";"25FRA011";"";"https://ems.iwwf.sport/Competitions/Details?Id=057db283-05dc-402d-88f4-664f8c944141"
"5-6 Jul 2025 CANCELLED";"Waterski";"INTER";"L";"FRA";"Ski Caraibes Slalom Cup";"";"Ski Caraibes A...";"25FRA012";"";"https://ems.iwwf.sport/Competitions/Details?Id=0abc1555-d40c-4085-8c13-c430e97e6323"
"28-29 Jun 2025";"Waterski";"INTER";"L";"FRA";"LE PLAN D'EAU 3D 1/2 30ème anniversaire";"";"Club Omnisport...";"25FRA013";"";"https://ems.iwwf.sport/Competitions/Details?Id=a831c296-d9cc-4a9c-a92d-a5aeda1635ff"
"4-5 Oct 2025";"Waterski";"INTER";"L";"FRA";"LE PLAN D'EAU 3D 2/2 30ème anniversaire";"";"Club Omnisport...";"25FRA014";"";"https://ems.iwwf.sport/Competitions/Details?Id=e46505dd-33fc-403e-9a38-962611adfbb2"
"30-31 Aug 2025 CANCELLED";"Waterski";"INTER";"L";"FRA";"Championnat de ligue OCC Ski Classique";"";"Moissac";"25FRA015";"";"https://ems.iwwf.sport/Competitions/Details?Id=46aef96e-947b-4532-9065-cbf243dcd89f"
"10-11 Jul 2025";"Waterski";"NatCH";"L";"FRA";"Championnat de France RELEVES 2025";"";"Ski nautique M...";"25FRA016";"";"https://ems.iwwf.sport/Competitions/Details?Id=7d751823-b173-4e19-92b7-8a6569497f05"
"19-20 Jul 2025";"Waterski";"NatCH";"L";"FRA";"Championnat de France SENIOR 2025";"";"Ski Club Nauti...";"25FRA018";"";"https://ems.iwwf.sport/Competitions/Details?Id=2f290123-3380-4da2-8838-f91de02be4a6"
"2-3 Aug 2025";"Waterski";"INTER";"L";"FRA";"Championnats du mont de Laroche";"";"Association Sp...";"25FRA019";"";"https://ems.iwwf.sport/Competitions/Details?Id=b65bb64a-e12a-4a3f-9579-0e77a5cc292c"
