Year;CompetitionCode;CompetitionName;ChampionshipBlock;PopulationGroup;Category;CategoryOrder;Sex;Event;ApprovedAll;ApprovedFrench;ApprovedForeign;FrenchDepthClass;FrenchFieldOneToThree;FrenchPodiumPlaces;FrenchPodiumWeightPercent;RawCategories;DivisionLabels
2023;23FRA023;Championnat de France SENIOR 2023;SENIOR;SENIOR;45+;45;M;SAUT;3;3;0;3;1;3;100.0;45+ M (48) | 45+ M (51) | 45+ M (53);
2023;23FRA023;Championnat de France SENIOR 2023;SENIOR;SENIOR;45+;45;M;SLALOM;10;10;0;10+;0;3;30.0;45+ M (47) | 45+ M (48) | 45+ M (50) | 45+ M (51) | 45+ M (52) | 45+ M (53) | 45+ M (54) | 45+ M (55);
2023;23FRA023;Championnat de France SENIOR 2023;SENIOR;SENIOR;55+;55;F;COMBINE;1;1;0;1;1;1;100.0;55+ F (58);
2023;23FRA023;Championnat de France SENIOR 2023;SENIOR;SENIOR;55+;55;F;FIGURES;1;1;0;1;1;1;100.0;55+ F (58);
2023;23FRA023;Championnat de France SENIOR 2023;SENIOR;SENIOR;55+;55;F;SAUT;1;1;0;1;1;1;100.0;55+ F (58);
2023;23FRA023;Championnat de France SENIOR 2023;SENIOR;SENIOR;55+;55;F;SLALOM;5;5;0;4-5;0;3;60.0;55+ F (57) | 55+ F (58) | 55+ F (59) | 55+ F (64);
2023;23FRA023;Championnat de France SENIOR 2023;SENIOR;SENIOR;55+;55;M;COMBINE;2;2;0;2;1;2;100.0;55+ M (61) | 55+ M (62);
2023;23FRA023;Championnat de France SENIOR 2023;SENIOR;SENIOR;55+;55;M;FIGURES;3;3;0;3;1;3;100.0;55+ M (61) | 55+ M (62) | 55+ M (64);
2023;23FRA023;Championnat de France SENIOR 2023;SENIOR;SENIOR;55+;55;M;SAUT;2;2;0;2;1;2;100.0;55+ M (61) | 55+ M (62);
2023;23FRA023;Championnat de France SENIOR 2023;SENIOR;SENIOR;55+;55;M;SLALOM;10;9;1;6-9;0;3;33.3;55+ M (57) | 55+ M (58) | 55+ M (60) | 55+ M (61) | 55+ M (62) | 55+ M (63) | 55+ M (64);
2023;23FRA023;Championnat de France SENIOR 2023;SENIOR;SENIOR;65+;65;M;FIGURES;1;1;0;1;1;1;100.0;65+ M (66);
2023;23FRA023;Championnat de France SENIOR 2023;SENIOR;SENIOR;65+;65;M;SLALOM;2;2;0;2;1;2;100.0;65+ M (66) | 65+ M (70);
2023;23FRA023;Championnat de France SENIOR 2023;SENIOR;SENIOR;70+;70;M;FIGURES;1;1;0;1;1;1;100.0;70+ M (72);
2023;23FRA023;Championnat de France SENIOR 2023;SENIOR;SENIOR;70+;70;M;SLALOM;3;3;0;3;1;3;100.0;70+ M (71) | 70+ M (74) | 70+ M (76);
2023;23FRA023;Championnat de France SENIOR 2023;SENIOR;SENIOR;75+;75;M;FIGURES;1;1;0;1;1;1;100.0;75+ M (77);
2023;23FRA023;Championnat de France SENIOR 2023;SENIOR;SENIOR;75+;75;M;SLALOM;1;1;0;1;1;1;100.0;75+ M (77);
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;U21;U21;21;F;COMBINE;4;4;0;4-5;0;3;75.0;-21 F (19) | -21 F (20) | -21 F (21);
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;U21;U21;21;F;FIGURES;4;4;0;4-5;0;3;75.0;-21 F (19) | -21 F (20) | -21 F (21);
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;U21;U21;21;F;SAUT;4;4;0;4-5;0;3;75.0;-21 F (19) | -21 F (20) | -21 F (21);
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;U21;U21;21;F;SLALOM;4;4;0;4-5;0;3;75.0;-21 F (19) | -21 F (20) | -21 F (21);
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;U21;U21;21;M;COMBINE;3;3;0;3;1;3;100.0;-21 M (16) | -21 M (18) | -21 M (19);
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;U21;U21;21;M;FIGURES;4;4;0;4-5;0;3;75.0;-21 M (16) | -21 M (18) | -21 M (19);
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;U21;U21;21;M;SAUT;6;6;0;6-9;0;3;50.0;-21 M (16) | -21 M (18) | -21 M (19) | -21 M (21);
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;U21;U21;21;M;SLALOM;9;8;1;6-9;0;3;37.5;-21 M (15) | -21 M (16) | -21 M (17) | -21 M (18) | -21 M (19) | -21 M (21);
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;OPEN;OPEN;30;F;COMBINE;3;2;1;2;1;2;100.0;Open F (24) | Open F (32);
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;OPEN;OPEN;30;F;FIGURES;5;4;1;4-5;0;3;75.0;Open F (24) | Open F (29) | Open F (32);
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;OPEN;OPEN;30;F;SAUT;3;2;1;2;1;2;100.0;Open F (24) | Open F (32);
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;OPEN;OPEN;30;F;SLALOM;8;6;2;6-9;0;3;50.0;Open F (23) | Open F (24) | Open F (27) | Open F (32) | Open F (36);
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;OPEN;OPEN;30;M;COMBINE;3;3;0;3;1;3;100.0;Open M (23) | Open M (27) | Open M (29);
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;OPEN;OPEN;30;M;FIGURES;5;5;0;4-5;0;3;60.0;Open M (23) | Open M (27) | Open M (29) | Open M (33) | Open M (34);
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;OPEN;OPEN;30;M;SAUT;4;4;0;4-5;0;3;75.0;Open M (23) | Open M (27) | Open M (29);
