Status2024;Athletes2024;Retained2025;Exited2025;RetentionRatePercent;MeanCompetitions2024;MeanCompetitionsRetained;MeanCompetitionsExited
ALREADY_PRESENT_2023;140;115;25;82.1;3.29;3.57;2.04
NEW_IN_2024_WINDOW;51;23;28;45.1;1.69;2.26;1.21
