Year;CompetitionsPerAthlete;Athletes;SharePercent;ApprovedEntries
2025;1;76;38.4;76
2025;2;42;21.2;84
2025;3;27;13.6;81
2025;4;17;8.6;68
2025;5;17;8.6;85
2025;6;4;2.0;24
2025;7;4;2.0;28
2025;8;6;3.0;48
2025;9;4;2.0;36
2025;11;1;0.5;11
