Dimension;EntryGroup;FidelityProfile;Athletes;ShareWithinEntryGroupPercent;EntryGroupTotal
SEX_X_AGE_BAND;M|RELEVES;ONE_SEASON_2025;2;8.3;24
SEX_X_AGE_BAND;M|JUNIOR;CORE_3_YEARS;6;40.0;15
SEX_X_AGE_BAND;M|JUNIOR;RETURN_AFTER_GAP;1;6.7;15
SEX_X_AGE_BAND;M|JUNIOR;ONE_SEASON_2023;4;26.7;15
SEX_X_AGE_BAND;M|JUNIOR;ONE_SEASON_2024;2;13.3;15
SEX_X_AGE_BAND;M|JUNIOR;ONE_SEASON_2025;2;13.3;15
SEX_X_AGE_BAND;M|U21;CORE_3_YEARS;7;41.2;17
SEX_X_AGE_BAND;M|U21;TWO_YEARS_2023_2024;3;17.6;17
SEX_X_AGE_BAND;M|U21;TWO_YEARS_2024_2025;1;5.9;17
SEX_X_AGE_BAND;M|U21;RETURN_AFTER_GAP;1;5.9;17
SEX_X_AGE_BAND;M|U21;ONE_SEASON_2023;1;5.9;17
SEX_X_AGE_BAND;M|U21;ONE_SEASON_2024;2;11.8;17
SEX_X_AGE_BAND;M|U21;ONE_SEASON_2025;2;11.8;17
SEX_X_AGE_BAND;M|OPEN;CORE_3_YEARS;8;19.0;42
SEX_X_AGE_BAND;M|OPEN;TWO_YEARS_2023_2024;4;9.5;42
SEX_X_AGE_BAND;M|OPEN;TWO_YEARS_2024_2025;4;9.5;42
SEX_X_AGE_BAND;M|OPEN;RETURN_AFTER_GAP;4;9.5;42
SEX_X_AGE_BAND;M|OPEN;ONE_SEASON_2023;7;16.7;42
SEX_X_AGE_BAND;M|OPEN;ONE_SEASON_2024;5;11.9;42
SEX_X_AGE_BAND;M|OPEN;ONE_SEASON_2025;10;23.8;42
SEX_X_AGE_BAND;M|SENIOR;CORE_3_YEARS;52;42.6;122
SEX_X_AGE_BAND;M|SENIOR;TWO_YEARS_2023_2024;8;6.6;122
SEX_X_AGE_BAND;M|SENIOR;TWO_YEARS_2024_2025;9;7.4;122
SEX_X_AGE_BAND;M|SENIOR;RETURN_AFTER_GAP;5;4.1;122
SEX_X_AGE_BAND;M|SENIOR;ONE_SEASON_2023;19;15.6;122
SEX_X_AGE_BAND;M|SENIOR;ONE_SEASON_2024;12;9.8;122
SEX_X_AGE_BAND;M|SENIOR;ONE_SEASON_2025;17;13.9;122
