FromYear;ToYear;AthleteKey;Name;Sex;YOB;OpenCompetitionsFromYear;OpenPhysicalDisciplineCountFromYear;OpenChampionshipFromYear;DestinationStatus;OpenCompetitionsToYear;SeniorCompetitionsToYear
2024;2025;FRA|1987|WELTER CLAIRE-LISE;WELTER Claire-Lise;F;1987;2;0;1;MAINTIEN_OPEN;3;0
2024;2025;FRA|1989|BALLON PIERRE;BALLON Pierre;M;1989;1;0;1;SORTIE_DU_CIRCUIT_FRANCAIS_EMS;0;0
2024;2025;FRA|1989|JAMIN ROLAND;JAMIN Roland;M;1989;6;0;0;MAINTIEN_OPEN;5;0
2024;2025;FRA|1990|DELVAQUE JEAN-GABRIEL;DELVAQUE Jean-Gabriel;M;1990;4;0;0;MAINTIEN_OPEN;3;0
2024;2025;FRA|1991|BISCHOFBERGER MARION;BISCHOFBERGER Marion;F;1991;1;0;0;MAINTIEN_OPEN;1;0
2024;2025;FRA|1991|COSTARD MANON;COSTARD Manon;F;1991;1;0;1;MAINTIEN_OPEN;1;0
2024;2025;FRA|1991|JACQUIER ROMAIN;JACQUIER Romain;M;1991;2;0;1;MAINTIEN_OPEN;3;0
2024;2025;FRA|1991|MARTINI MARIE;MARTINI Marie;F;1991;13;0;1;MAINTIEN_OPEN;8;0
2024;2025;FRA|1992|DESCUNS SACHA;DESCUNS Sacha;M;1992;2;0;1;MAINTIEN_OPEN;3;0
2024;2025;FRA|1992|FRAISSE ROMAIN;FRAISSE Romain;M;1992;1;0;0;MAINTIEN_OPEN;2;0
2024;2025;FRA|1992|METIVIER EUDES;METIVIER Eudes;M;1992;2;0;0;SORTIE_DU_CIRCUIT_FRANCAIS_EMS;0;0
2024;2025;FRA|1994|BISCHOFBERGER OSCAR;BISCHOFBERGER Oscar;M;1994;13;0;1;MAINTIEN_OPEN;9;0
2024;2025;FRA|1994|PHILY LAURA;PHILY Laura;F;1994;2;0;1;SORTIE_DU_CIRCUIT_FRANCAIS_EMS;0;0
2024;2025;FRA|1995|DAUZONNE SACHA;DAUZONNE Sacha;M;1995;3;0;1;SORTIE_DU_CIRCUIT_FRANCAIS_EMS;0;0
2024;2025;FRA|1995|DELVAQUE CONSTANTIN;DELVAQUE Constantin;M;1995;2;0;0;MAINTIEN_OPEN;3;0
2024;2025;FRA|1995|GROISEAU AUDE;GROISEAU Aude;F;1995;1;0;0;MAINTIEN_OPEN;2;0
2024;2025;FRA|1995|PANTIGNY LILYAN;PANTIGNY Lilyan;M;1995;2;0;0;MAINTIEN_OPEN;1;0
2024;2025;FRA|1996|BISCHOFBERGER ILLANA;BISCHOFBERGER Illana;F;1996;5;0;1;MAINTIEN_OPEN;4;0
2024;2025;FRA|1998|ANGUENOT LEO;ANGUENOT Leo;M;1998;2;0;0;SORTIE_DU_CIRCUIT_FRANCAIS_EMS;0;0
2024;2025;FRA|1998|BENZIDANE PATRICK;BENZIDANE Patrick;M;1998;1;0;0;MAINTIEN_OPEN;1;0
2024;2025;FRA|1999|MIERMONT LEA;MIERMONT Lea;F;1999;5;0;1;MAINTIEN_OPEN;6;0
2024;2025;FRA|2000|BORDIER LINDSAY;BORDIER Lindsay;M;2000;2;0;0;SORTIE_DU_CIRCUIT_FRANCAIS_EMS;0;0
2024;2025;FRA|2000|D ANGLEJAN THOMAS;D ANGLEJAN Thomas;M;2000;5;0;0;MAINTIEN_OPEN;4;0
2024;2025;FRA|2000|DUPLAN FRIBOURG LOUIS;DUPLAN FRIBOURG Louis;M;2000;1;0;1;SORTIE_DU_CIRCUIT_FRANCAIS_EMS;0;0
2024;2025;FRA|2000|GERARD LORENZO;GERARD Lorenzo;M;2000;1;0;0;SORTIE_DU_CIRCUIT_FRANCAIS_EMS;0;0
2024;2025;FRA|2000|NEDEAU TANGUY;NEDEAU Tanguy;M;2000;1;0;0;MAINTIEN_OPEN;2;0
2024;2025;FRA|2000|ROUSSET BLANDINE;ROUSSET Blandine;F;2000;1;0;0;SORTIE_DU_CIRCUIT_FRANCAIS_EMS;0;0
2024;2025;FRA|2001|ROUSSELOT NICOLAS;ROUSSELOT Nicolas;M;2001;9;0;1;MAINTIEN_OPEN;5;0
2024;2025;FRA|2002|AMBLARD ARTHUR;AMBLARD Arthur;M;2002;2;0;0;SORTIE_DU_CIRCUIT_FRANCAIS_EMS;0;0
2024;2025;FRA|2002|ANGUENOT INES;ANGUENOT Inès;F;2002;4;0;1;MAINTIEN_OPEN;2;0
2024;2025;FRA|2002|CONSTANS BASTIEN;CONSTANS Bastien;M;2002;3;0;0;MAINTIEN_OPEN;1;0
2024;2025;FRA|2002|CUSEY MARTIN;CUSEY Martin;M;2002;2;0;0;SORTIE_DU_CIRCUIT_FRANCAIS_EMS;0;0
2024;2025;FRA|2002|POISSONNIER LOIC;POISSONNIER Loic;M;2002;1;0;0;SORTIE_DU_CIRCUIT_FRANCAIS_EMS;0;0
2024;2025;FRA|2002|SONIER PERRINE;SONIER Perrine;F;2002;7;0;1;MAINTIEN_OPEN;3;0
2024;2025;FRA|2003|GERMON THEO;GERMON Theo;M;2003;1;0;0;MAINTIEN_OPEN;1;0
