Cohort;InitialAthletes;RetainedNextYear;RetainedNextYearPercent;PresentIn2025;PresentIn2025Percent;PresentAllThreeYears;PresentAllThreeYearsPercent;ReturnAfterGap
ACTIVE_2023;206;140;68.0;130;63.1;115;55.8;15
ACTIVE_2024;191;138;72.3;138;72.3;;;
