Year;CompetitionCode;Status;MatchType;Similarity;DBRiderId;DBName;DBYOB;DBCategory;EMSAthleteKey;EMSName;EMSYOB;EMSCountry;EMSCategory
2024;24FRA027;MATCH;SAC_MOTS_ET_YOB;1.0;352;Pierre Ballon;1989;Open;FRA|1989|BALLON PIERRE;BALLON Pierre;1989;FRA;Open M (35)
2024;24FRA027;MATCH;SAC_MOTS_ET_YOB;1.0;353;Boada Claudia Barjau;2001;Open;ESP|2001|BARJAU BOADA CLAUDIA;BARJAU BOADA Claudia;2001;ESP;Open F (23)
2024;24FRA027;MATCH;SAC_MOTS_ET_YOB;1.0;358;Sacha Dauzonne;1995;Open;FRA|1995|DAUZONNE SACHA;DAUZONNE Sacha;1995;FRA;Open M (29)
2024;24FRA027;MATCH;SAC_MOTS_ET_YOB;1.0;359;Louis Duplan-Fribourg;2000;Open;FRA|2000|DUPLAN FRIBOURG LOUIS;DUPLAN FRIBOURG Louis;2000;FRA;Open M (24)
2024;24FRA027;MATCH;SAC_MOTS_ET_YOB;1.0;361;Romain Jacquier;1991;Open;FRA|1991|JACQUIER ROMAIN;JACQUIER Romain;1991;FRA;Open M (33)
2024;24FRA027;MATCH;SAC_MOTS_ET_YOB;1.0;363;Forestier Nicolas Le;1973;Open;FRA|1973|LE FORESTIER NICOLAS;LE FORESTIER Nicolas;1973;FRA;Open M (51)
2024;24FRA027;MATCH;NOM_APPROCHE;0.96;1;Ins Anguenot;2002;Open;FRA|2002|ANGUENOT INES;ANGUENOT Inès;2002;FRA;Open F (22)
2024;24FRA027;DB_SEUL;;;349;Arthur Amblard;2002;Open;;;;;
2025;25FRA206;MATCH;SAC_MOTS_ET_YOB;1.0;3;Oscar Bischofberger;1994;Open;FRA|1994|BISCHOFBERGER OSCAR;BISCHOFBERGER Oscar;1994;FRA;Open M (31)
2025;25FRA206;MATCH;SAC_MOTS_ET_YOB;1.0;5;Sacha Descuns;1992;Open;FRA|1992|DESCUNS SACHA;DESCUNS Sacha;1992;FRA;Open M (33)
2025;25FRA206;MATCH;SAC_MOTS_ET_YOB;1.0;15;Lea Miermont;1999;Open;FRA|1999|MIERMONT LEA;MIERMONT Lea;1999;FRA;Open F (26)
2025;25FRA206;MATCH;SAC_MOTS_ET_YOB;1.0;20;Nicolas Rousselot;2001;Open;FRA|2001|ROUSSELOT NICOLAS;ROUSSELOT Nicolas;2001;FRA;Open M (24)
2025;25FRA206;MATCH;SAC_MOTS_ET_YOB;1.0;21;Perrine Sonier;2002;Open;FRA|2002|SONIER PERRINE;SONIER Perrine;2002;FRA;Open F (23)
2025;25FRA206;MATCH;SAC_MOTS_ET_YOB;1.0;115;Manon Costard;1991;Open;FRA|1991|COSTARD MANON;COSTARD Manon;1991;FRA;Open F (34)
2025;25FRA206;MATCH;SAC_MOTS_ET_YOB;1.0;117;Pol Duplan-Fribourg;2003;Open;FRA|2003|DUPLAN FRIBOURG POL;DUPLAN FRIBOURG Pol;2003;FRA;Open M (22)
2025;25FRA206;MATCH;SAC_MOTS_ET_YOB;1.0;122;Thomas Laforet;1986;Open;FRA|1986|LAFORET THOMAS;LAFORET Thomas;1986;FRA;Open M (39) Div 1
2025;25FRA206;MATCH;SAC_MOTS_ET_YOB;1.0;123;ESCOLANO Florence LANCIEN;1965;Open;FRA|1965|LANCIEN ESCOLANO FLORENCE;LANCIEN ESCOLANO Florence;1965;FRA;Open F (60)
2025;25FRA206;MATCH;SAC_MOTS_ET_YOB;1.0;125;Marie Martini;1991;Open;FRA|1991|MARTINI MARIE;MARTINI Marie;1991;FRA;Open F (34)
2025;25FRA206;MATCH;SAC_MOTS_ET_YOB;1.0;132;Claire-Lise Welter;1987;Open;FRA|1987|WELTER CLAIRE-LISE;WELTER Claire-Lise;1987;FRA;Open F (38)
2025;25FRA206;MATCH;SAC_MOTS_YOB_MANQUANT;1.0;246;Guillaume Duplan;;Open;FRA|1964|DUPLAN GUILLAUME;DUPLAN Guillaume;1964;FRA;Open M (61)
2025;25FRA206;MATCH;NOM_APPROCHE;0.96;1;Ins Anguenot;2002;Open;FRA|2002|ANGUENOT INES;ANGUENOT Inès;2002;FRA;Open F (23)
2025;25FRA206;DB_SEUL;;;245;Lorraine Fribourg;;Open;;;;;
2025;25FRA206;DB_SEUL;;;247;Alexandre HUGONIN,;1978;Open;;;;;
2025;25FRA206;EMS_SEUL;;;;;;;FRA|2007|DUVERGER MARIE-LOU;DUVERGER Marie-Lou;2007;FRA;Open F (18)
