"Year";"CompetitionsInScope";"OneVisibleEntry";"OneVisibleEntryPercent";"FrenchAthletesUsable";"FrequencyAnalysisUsable";"CoverageStatus";"Note"
"2021";"34";"34";"100";"False";"False";"UNUSABLE";"Toutes les compétitions non annulées ne conservent qu'un participant visible et aucun Français."
"2022";"28";"20";"71,4";"False";"False";"INCOMPLETE";"Vingt compétitions sur vingt-huit ne conservent qu'un participant visible ; couverture hétérogène."
