Year;CompetitionCode;CompetitionDate;CompetitionName;CompetitionType;TotalApproved;FrenchApproved;ForeignApproved;FrenchSharePercent;UniqueAthletes;UniqueFrench
2024;24FRA028;1-2 Jun 2024;Ezylake's cup;INTER;19;14;5;73.7;19;14
2024;24FRA004;11-12 May 2024;Magic Cup;INTER;17;5;12;29.4;17;5
2024;24FRA010;12-13 Oct 2024;BAURECH CLASSIC;INTER;42;24;18;57.1;42;24
2024;24FRA026;12-14 Jul 2024;Championnat de France RELEVES;NatCH;24;21;3;87.5;24;21
2024;24FRA034;13-14 Jul 2024;Championnat de France SENIOR;NatCH;40;40;0;100.0;40;40
2024;24FRA002;14-15 Sep 2024;Viry Lake's challenge #6;INTER;20;17;3;85.0;20;17
2024;24FRA009;15-16 Jun 2024;BORDEAUX SLALOM CUP;INTER;38;26;12;68.4;38;26
2024;24FRA021;15-16 Jun 2024;Tours 3D event;INTER;19;17;2;89.5;19;17
2024;24FRA027;16-17 Jul 2024;Championnat de France U21 + OPEN;NatCH;27;22;5;81.5;27;22
2024;24FRA024;17-18 Aug 2024;Austin's Cup 24;INTER;26;9;17;34.6;26;9
2024;24FRA019;2 Jun 2024;PITROT 1 DAY;INTER;27;18;9;66.7;27;18
2024;24FRA016;2-4 Aug 2024;Coupe de Meuzac;INTER;40;31;9;77.5;40;31
2024;24FRA025;21-22 Sep 2024;Jano's Cup 24;INTER;14;6;8;42.9;14;6
2024;24FRA029;21-22 Sep 2024;Biggie's international;INTER;28;20;8;71.4;28;20
2024;24FRA001;22-23 Jun 2024;The Fungliss Pro Am;INTER;50;12;38;24.0;50;12
2024;24FRA020;24-25 Aug 2024;Saint Pardoux Cup;INTER;16;16;0;100.0;16;16
2024;24FRA003;26-27 Oct 2024;Frozen Magic JG;INTER;18;11;7;61.1;18;11
2024;24FRA008;27-28 Jul 2024;Grand Prix de Marcillac - Championnat de Ligue NAQUA;INTER;37;32;5;86.5;37;32
2024;24FRA013;27-28 Jul 2024;Championnats de ligue BFC;NAT;18;18;0;100.0;18;18
2024;24FRA030;27-28 Jul 2024;Magic Ski Time;INTER;34;17;17;50.0;34;17
2024;24FRA005;29-30 Jun 2024;LE PLAN D'EAU 3D JUIN;INTER;49;34;15;69.4;49;34
2024;24FRA017;31 Aug - 1 Sep 2024;Coupe du pays de Montbéliard;INTER;16;14;2;87.5;16;14
2024;24FRA022;31 Aug - 1 Sep 2024;Championnat de ligue OCC Ski Classique;INTER;1;0;1;0.0;1;0
2024;24FRA031;31 Aug - 1 Sep 2024;Magic Trophy;INTER;29;23;6;79.3;29;23
2024;24FRA039;5-6 Oct 2024;LE PLAN D'EAU 3D;INTER;35;26;9;74.3;35;26
2024;24FRA007;6-7 Jul 2024;Ski Caraibes SLALOM CUP 2024;INTER;28;12;16;42.9;28;12
2024;24FRA018;6-7 Jul 2024;LACANAU SKI CLASSIC 3D;INTER;47;30;17;63.8;47;30
2024;24FRA023;6-7 Jul 2024;Vinney's Cup 24;INTER;19;8;11;42.1;19;8
2024;24FRA012;7-8 Sep 2024;Championnat Ligue Grand Est et Coupe Richard Odin;INTER;17;16;1;94.1;17;16
2024;24FRA036;8-9 Jun 2024;Magic Challenge;INTER;12;8;4;66.7;12;8
