"Date";"Discipline";"Type";"Homol.";"Country";"Name";"Colonne_7";"Site";"EMS Code";"Nat. Code";"CompetitionUrl"
"18-19 Jun 2022";"Waterski";"INTER";"R";"FRA";"THE FUNGLISS PRO AM";"";"FUNGLISS DOMMA...";"22FRA001";"";"https://ems.iwwf.sport/Competitions/Details?Id=f0071619-efdd-402d-9209-c8651f40c647"
"8-10 Jul 2022";"Waterski";"INTER";"R";"FRA";"Malibu Open LACANAU proam 2022";"";"Lacanau Ski Cl...";"22FRA002";"";"https://ems.iwwf.sport/Competitions/Details?Id=00200053-8e63-4abe-b3ca-440c8ea27133"
"11-12 Jun 2022";"Waterski";"INTER";"L";"FRA";"TROPHEE DES JOLIES FILLES";"";"Club Arc Dijon...";"22FRA003";"";"https://ems.iwwf.sport/Competitions/Details?Id=000ed3f5-4981-44e1-80ff-942cd627663e"
"10-11 Sep 2022 CANCELLED";"Waterski";"INTER";"L";"FRA";"Championnat de Ligue Auvergne-Rhône-Alpes 3D";"";"Bourg-en-Bress...";"22FRA004";"";"https://ems.iwwf.sport/Competitions/Details?Id=0404ef30-acc5-4969-bd6d-84a5adedc7b9"
"25-26 Jun 2022";"Waterski";"INTER";"L";"FRA";"LE PLAN D'EAU 3D 1/2";"";"Club Omnisport...";"22FRA006";"";"https://ems.iwwf.sport/Competitions/Details?Id=33f20ab8-4dc2-4b9c-88fe-c3068377ffad"
"30 Sep - 2 Oct 2022";"Waterski";"INTER";"L";"FRA";"LE PLAN D'EAU 3D 2/2";"";"Club Omnisport...";"22FRA007";"";"https://ems.iwwf.sport/Competitions/Details?Id=727c129e-cc26-4223-9f75-e7d5af0accc3"
"25-26 Jun 2022";"Waterski";"INTER";"L";"FRA";"Championnats de Ligue Ile-de-France";"";"Nemours Grez/l...";"22FRA009";"";"https://ems.iwwf.sport/Competitions/Details?Id=75224350-3299-466f-9494-a3c55ca2061d"
"25-26 Jun 2022";"Waterski";"INTER";"L";"FRA";"Ski Caraibes Slalom CUP";"";"Ski Caraibes A...";"22FRA010";"";"https://ems.iwwf.sport/Competitions/Details?Id=e31013b8-00d0-4599-9bfd-ca3d173b2f36"
"3-4 Sep 2022";"Waterski";"INTER";"L";"FRA";"Aqua'Cup";"";"Aqu'Aventure";"22FRA011";"";"https://ems.iwwf.sport/Competitions/Details?Id=3383dbc4-88f3-4c6a-9453-b8904fcfa5df"
"10-11 Sep 2022";"Waterski";"INTER";"L";"FRA";"PARIS - Viry Lake's challenge";"";"Club Nautique ...";"22FRA012";"";"https://ems.iwwf.sport/Competitions/Details?Id=5020b09e-27f0-41e0-93a0-3e9187386514"
"13-14 Aug 2022";"Waterski";"INTER";"L";"FRA";"The Fungliss 3.0";"";"FUNGLISS DOMMA...";"22FRA013";"";"https://ems.iwwf.sport/Competitions/Details?Id=845d40b9-b5b3-4305-9e37-512638990829"
"11-12 Jun 2022";"Waterski";"INTER";"L";"FRA";"Bordeaux Slalom Cup";"";"Ski Nautique C...";"22FRA014";"";"https://ems.iwwf.sport/Competitions/Details?Id=bfe6e5e0-9c76-4caa-a7d8-8c1bb555cff2"
"27-28 Aug 2022";"Waterski";"INTER";"L";"FRA";"Baurech 3D";"";"Ski Nautique C...";"22FRA015";"";"https://ems.iwwf.sport/Competitions/Details?Id=6c7a358f-9af1-4574-bc96-70964c261526"
"8-9 Oct 2022";"Waterski";"INTER";"L";"FRA";"Baurech Cup";"";"Ski Nautique C...";"22FRA016";"";"https://ems.iwwf.sport/Competitions/Details?Id=35254d75-c5d9-471a-9bd9-20ff63f3e14c"
"28-29 May 2022";"Waterski";"INTER";"L";"FRA";"Magic Cup";"";"Nemours Grez/l...";"22FRA017";"";"https://ems.iwwf.sport/Competitions/Details?Id=2a40bbbc-0e3f-4b47-974b-2bae1d8c261c"
"10-11 Sep 2022";"Waterski";"INTER";"L";"FRA";"Lacanau ski classic";"";"Lacanau Ski Cl...";"22FRA018";"";"https://ems.iwwf.sport/Competitions/Details?Id=3b456fd8-f8b9-473d-bfda-fec5e9233490"
"3-4 Sep 2022";"Waterski";"INTER";"L";"FRA";"Championnat Ligue Grand Est et Coupe Richard Odin";"";"Club Nautique ...";"22FRA021";"";"https://ems.iwwf.sport/Competitions/Details?Id=8c147323-4025-4152-8532-6da864a77b86"
"3-4 Sep 2022";"Waterski";"INTER";"L";"FRA";"Championnat de ligue OCC Ski Classique";"";"Moissac";"22FRA022";"";"https://ems.iwwf.sport/Competitions/Details?Id=c787c2d8-2b46-4db2-989d-7d4ef4cfd551"
"2-3 Jul 2022";"Waterski";"NAT";"L";"FRA";"Ch Ligue NAQU - Mémorial Michel NAUDINAT";"";"Jarnac";"22FRA023";"";"https://ems.iwwf.sport/Competitions/Details?Id=736fd28a-a41a-4404-b818-d41ab0fe97c0"
"6-7 Aug 2022";"Waterski";"INTER";"L";"FRA";"Magic Ski Time";"";"Nemours Grez/l...";"22FRA024";"";"https://ems.iwwf.sport/Competitions/Details?Id=859dd05b-7ba8-44f4-912f-30affee8ac0c"
"15-16 Oct 2022";"Waterski";"INTER";"L";"FRA";"Freezing Magic Cup";"";"Nemours Grez/l...";"22FRA025";"";"https://ems.iwwf.sport/Competitions/Details?Id=935e64ae-1d2d-48c6-9a0b-5fd00b3597e7"
"2-3 Jul 2022";"Waterski";"INTER";"L";"FRA";"Vinney's Cup 22";"";"Ski Nautique C...";"22FRA026";"";"https://ems.iwwf.sport/Competitions/Details?Id=45fe8a10-91d2-4b46-b634-efe14b7b3d58"
"20-21 Aug 2022";"Waterski";"INTER";"L";"FRA";"Austin's Cup 22";"";"Ski Nautique C...";"22FRA027";"";"https://ems.iwwf.sport/Competitions/Details?Id=7851c25b-df25-40a5-b476-8d39111a6ecc"
"30-31 Jul 2022";"Waterski";"INTER";"L";"FRA";"Coupe de Meuzac";"";"BEACH SKI ACAD...";"22FRA028";"";"https://ems.iwwf.sport/Competitions/Details?Id=10a02285-0457-4f0b-b717-d0027e1d618b"
"13-14 Jul 2022";"Waterski";"NatCH";"L";"FRA";"Championnats de France SENIOR";"";"Ski Nautique C...";"22FRA029";"";"https://ems.iwwf.sport/Competitions/Details?Id=93db8db5-68a9-42ff-a771-8e97964ad8d7"
"26-28 Aug 2022";"Waterski";"NatCH";"L";"FRA";"Championnats de France RELEVES U10 to U17 - Championnat de Ligue BFC";"";"Ski nautique M...";"22FRA030";"";"https://ems.iwwf.sport/Competitions/Details?Id=94f3bdf4-896c-4bef-9e35-c0c3e72b9975"
"18-20 Jul 2022";"Waterski";"NatCH";"R";"FRA";"Championnat de France OPEN U21";"";"Ski Nautique C...";"22FRA031";"";"https://ems.iwwf.sport/Competitions/Details?Id=ba2ac725-7e3e-4420-a035-12947216d36d"
"23-24 Jul 2022";"Waterski";"INTER";"L";"FRA";"GRAND PRIX DE MARCILLAC";"";"Ski Club Nauti...";"22FRA037";"";"https://ems.iwwf.sport/Competitions/Details?Id=598a517e-d22f-4842-9525-917ceb1983ad"
"17 Aug 2022";"Waterski";"NAT";"NL";"FRA";"St Pardoux Contest";"";"St Pardoux";"22FRA038";"";"https://ems.iwwf.sport/Competitions/Details?Id=b7994223-6574-46e3-9f5c-e76e7f1921d8"
