Year;CompetitionCode;CompetitionDate;CompetitionName;CompetitionType;TotalApproved;FrenchApproved;ForeignApproved;FrenchSharePercent;UniqueAthletes;UniqueFrench
2026;26FRA023;1-2 Aug 2026;Championnats de Ligue BFC;INTER;15;13;2;86.7;15;13
2026;26FRA027;1-2 Aug 2026;BAURECH SLALOM CUP 2026;INTER;33;18;15;54.5;33;18
2026;26FRA039;1-2 Aug 2026;Biggie's International;INTER;14;8;6;57.1;14;8
2026;26FRA011;10-11 Oct 2026;BAURECH Slalom Series / EUROPEAN FINAL SENIOR TOUR;INTER;12;5;7;41.7;12;5
2026;26FRA041;11-12 Jul 2026;Championnat de France SENIOR 2026;NatCH;23;19;4;82.6;23;19
2026;26FRA004;12-13 Sep 2026;Viry lake's challenge 8#;INTER;6;5;1;83.3;6;5
2026;26FRA007;13-14 Jun 2026;Le Trophée d'Arc - 3D;INTER;22;16;6;72.7;22;16
2026;26FRA009;15-16 Aug 2026;Layrac 3D;INTER;1;0;1;0.0;1;0
2026;26FRA003;16-17 May 2026;Magic Cup 2026;INTER;19;6;13;31.6;19;6
2026;26FRA020;17-19 Jul 2026;Championnat de France RELEVES 2026;NatCH;34;33;1;97.1;34;33
2026;26FRA021;17-19 Jul 2026;Championnat de France U21 + OPEN;NatCH;20;19;1;95.0;20;19
2026;26FRA016;18-20 Sep 2026;Championnats de Ligue AURA;INTER;1;0;1;0.0;1;0
2026;26FRA028;19-20 Sep 2026;Magic Ski Time;INTER;8;4;4;50.0;8;4
2026;26FRA031;19-20 Sep 2026;Jano's Cup 26;INTER;1;0;1;0.0;1;0
2026;26FRA002;20-21 Jun 2026;THE FUNGLISS PRO AM;INTER;50;17;33;34.0;50;17
2026;26FRA030;22-23 Aug 2026;Austin's Cup 26;INTER;1;0;1;0.0;1;0
2026;26FRA035;22-23 Aug 2026;Magic Trophy;INTER;12;7;5;58.3;12;7
2026;26FRA042;22-23 Aug 2026;Coupe de Saint-Pardoux;INTER;2;2;0;100.0;2;2
2026;26FRA001;24-25 Oct 2026;Frozen Magic JG;INTER;5;1;4;20.0;5;1
2026;26FRA013;25-26 Jul 2026;GRAND PRIX DE MARCILLAC;INTER;15;11;4;73.3;15;11
2026;26FRA010;26-27 Sep 2026;LAYRAC FALL CLASSIC;INTER;1;0;1;0.0;1;0
2026;26FRA014;26-28 Jun 2026;Ski Caraibes Slalom & Tricks;INTER;27;16;11;59.3;27;16
2026;26FRA018;27-28 Jun 2026;LE PLAN D'EAU 3D 1/2;INTER;32;19;13;59.4;32;19
2026;26FRA015;29-30 Aug 2026;Championnat Ligue NAQU Mémorial M. NAUDINAT et JF. RAPP;INTER;1;1;0;100.0;1;1
2026;26FRA017;29-30 Aug 2026;FUNGLISS;INTER;31;15;16;48.4;31;15
2026;26FRA029;29-30 Aug 2026;Coupe du pays de Montbéliard;INTER;1;0;1;0.0;1;0
2026;26FRA019;3-4 Oct 2026;LE PLAN D'EAU 3D 2026 2/2;INTER;19;3;16;15.8;19;3
2026;26FRA032;30-31 May 2026;Trick Tours Contest;INTER;19;12;7;63.2;19;12
2026;26FRA005;4-5 Jul 2026;MALIBU OPEN LACANAU;INTER;40;20;20;50.0;40;20
2026;26FRA022;4-5 Jul 2026;Vinney's Cup 26;INTER;15;12;3;80.0;15;12
2026;26FRA026;4-5 Jul 2026;ADB & Senior Tour 2026;INTER;20;18;2;90.0;20;18
2026;26FRA006;5-6 Sep 2026;LACANAU SKI CLASSIC;INTER;21;5;16;23.8;21;5
2026;26FRA034;5-6 Sep 2026;Championnat de ligue OCC Ski Classique;INTER;1;1;0;100.0;1;1
2026;26FRA040;5-6 Sep 2026;Legends of Ezylake;INTER;1;0;1;0.0;1;0
2026;26FRA046;5-6 Sep 2026;Championnat Ligue Grand Est et Coupe Richard Odin;INTER;1;0;1;0.0;1;0
2026;26FRA012;6-7 Jun 2026;BEACH SKI ACADEMY CUP - Meuzac;INTER;17;16;1;94.1;17;16
