Group;FirstObservedOpenAthletes;OpenNextYear;OpenNextYearRatePercent;OpenWithin2Years;OpenWithin2YearsRatePercent;OpenWithin3Years;OpenWithin3YearsRatePercent;ContinuousThrough3Years;ContinuousThrough3YearsRatePercent
U21_DANS_LES_3_ANS_AVANT_OU_MEME_ANNEE;6;2;33.3;5;83.3;5;83.3;0;0.0
AUCUN_U21_OBSERVE_DANS_LES_3_ANS;17;4;23.5;5;29.4;5;29.4;1;5.9
