AthleteKey;Name;Sex;YOB;Age2025;AgeProfile;OpenStatus2025;OpenCompetitions2025;IntensityBand2025;OpenChampionship2025;PhysicalDisciplinesOpen;PhysicalDisciplineCountOpen;HasU212025;HasSenior2025
FRA|2003|DUPLAN FRIBOURG POL;DUPLAN FRIBOURG Pol;M;2003;22;22_34;NOUVEAU_DANS_FENETRE;1;1_COMPETITION;1;;0;0;0
FRA|1964|DUPLAN GUILLAUME;DUPLAN Guillaume;M;1964;61;35_PLUS;NOUVEAU_DANS_FENETRE;1;1_COMPETITION;1;;0;0;1
FRA|2007|DUVERGER MARIE-LOU;DUVERGER Marie-Lou;F;2007;18;21_OU_MOINS;NOUVEAU_DANS_FENETRE;1;1_COMPETITION;1;;0;1;0
FRA|2005|ESTANOL DAVID;ESTANOL David;M;2005;20;21_OU_MOINS;NOUVEAU_DANS_FENETRE;1;1_COMPETITION;0;;0;0;0
FRA|2003|GERMON THEO;GERMON Theo;M;2003;22;22_34;MAINTENU_DEPUIS_2024;1;1_COMPETITION;0;;0;0;0
FRA|1986|LAFORET THOMAS;LAFORET Thomas;M;1986;39;35_PLUS;NOUVEAU_DANS_FENETRE;1;1_COMPETITION;1;;0;0;1
FRA|1965|LANCIEN ESCOLANO FLORENCE;LANCIEN ESCOLANO Florence;F;1965;60;35_PLUS;NOUVEAU_DANS_FENETRE;1;1_COMPETITION;1;;0;0;1
FRA|2000|LOMBARD ROMANE;LOMBARD Romane;F;2000;25;22_34;NOUVEAU_DANS_FENETRE;1;1_COMPETITION;0;;0;0;0
FRA|2004|MORIN ANTOINE;MORIN Antoine;M;2004;21;21_OU_MOINS;NOUVEAU_DANS_FENETRE;1;1_COMPETITION;0;;0;1;0
FRA|1995|PANTIGNY LILYAN;PANTIGNY Lilyan;M;1995;30;22_34;MAINTENU_DEPUIS_2024;1;1_COMPETITION;0;;0;0;0
FRA|1999|THIELEN ANTHONY;THIELEN Anthony;M;1999;26;22_34;NOUVEAU_DANS_FENETRE;1;1_COMPETITION;0;;0;0;0
