FromYear;ToYear;PreviousAthletes;CurrentAthletes;RetainedAthletes;ExitedAthletes;EntrantAthletes;RetentionRatePercent;ExitRatePercent;EntrantShareOfCurrentPercent;NetChangeAthletes
2023;2024;206;191;140;66;51;68.0;32.0;26.7;-15
2024;2025;191;198;138;53;60;72.3;27.7;30.3;7
