Year;CompetitionsPerAthlete;Athletes;SharePercent;ApprovedEntries
2023;1;57;27.7;57
2023;2;66;32.0;132
2023;3;29;14.1;87
2023;4;23;11.2;92
2023;5;15;7.3;75
2023;6;5;2.4;30
2023;7;6;2.9;42
2023;8;2;1.0;16
2023;10;1;0.5;10
2023;11;2;1.0;22
