"Date";"Discipline";"Type";"Homol.";"Country";"Name";"Colonne_7";"Site";"EMS Code";"Nat. Code";"CompetitionUrl"
"21-22 Aug 2021";"Waterski";"INTER";"L";"FRA";"Magic Ski Time";"";"Nemours Grez/l...";"21FRA040";"";"https://ems.iwwf.sport/Competitions/Details?Id=16b7012a-3cc4-4475-8cdf-7a54425788d2"
"10-11 Jul 2021";"Waterski";"INTER";"L";"FRA";"Magic Lakes’ Challenge";"";"Nemours Grez/l...";"21FRA042";"";"https://ems.iwwf.sport/Competitions/Details?Id=e45d18f3-8d5a-449a-af6d-c384fd3aedb6"
"11-12 Sep 2021";"Waterski";"INTER";"L";"FRA";"Viry Lake's challenge";"";"Club Nautique ...";"21FRA043";"";"https://ems.iwwf.sport/Competitions/Details?Id=a9ca6902-c56d-479d-b8ea-6b537da6ea0b"
"31 Jul - 1 Aug 2021";"Waterski";"NatCH";"L";"FRA";"Championnats de France SENIOR";"";"Touraine Ski ...";"21FRA044";"";"https://ems.iwwf.sport/Competitions/Details?Id=5a4975f8-5880-4034-a2e6-9d798072d957"
"9-11 Jul 2021";"Waterski";"NatCH";"L";"FRA";"Championnats de France RELEVES";"";"Ski Nautique M...";"21FRA045";"";"https://ems.iwwf.sport/Competitions/Details?Id=16076920-679b-4909-99b3-c623018fc592"
"13-14 Jul 2021";"Waterski";"NatCH";"R";"FRA";"Championnat de France OPEN";"";"Ski Nautique M...";"21FRA046";"";"https://ems.iwwf.sport/Competitions/Details?Id=74ac51f4-0ca9-4ce5-9582-a4963a711781"
"25-26 Sep 2021";"Waterski";"NatCH";"L";"FRA";"Championnat de France INTERLIGUES";"";"Club Nautique ...";"21FRA048";"";"https://ems.iwwf.sport/Competitions/Details?Id=38f481c9-2838-43a8-8d13-96440de3c20e"
"4-5 Sep 2021";"Waterski";"INTER";"L";"FRA";"Mémorial Michel Naudinat Ch ligue NAQU";"";"Bombannes";"21FRA049";"";"https://ems.iwwf.sport/Competitions/Details?Id=b37bd6c6-e456-4e76-bebe-2d58bec2c82c"
"2-3 Oct 2021";"Waterski";"INTER";"L";"FRA";"Magic Cup 2";"";"Nemours Grez/l...";"21FRA055";"";"https://ems.iwwf.sport/Competitions/Details?Id=de27c2a2-90be-4b51-b61e-f4293e2010c1"
"12 Sep 2021";"Waterski";"NAT";"NL";"FRA";"Saint Pardoux Cup";"";"St Pardoux";"21FRA056";"";"https://ems.iwwf.sport/Competitions/Details?Id=728284cf-18dd-4045-99d4-66832125c3da"
