"Date";"Discipline";"Type";"Homol.";"Country";"Name";"Colonne_7";"Site";"EMS Code";"Nat. Code";"CompetitionUrl"
"22-23 Jun 2024";"Waterski";"INTER";"R";"FRA";"The Fungliss Pro Am";"";"FUNGLISS DOMMA...";"24FRA001";"";"https://ems.iwwf.sport/Competitions/Details?Id=23489acd-fd57-48c1-878d-525b94079d81"
"14-15 Sep 2024";"Waterski";"INTER";"L";"FRA";"Viry Lake's challenge #6";"";"Club Nautique ...";"24FRA002";"";"https://ems.iwwf.sport/Competitions/Details?Id=12ad3b40-1b35-4716-8a10-a1c6b2db1ada"
"26-27 Oct 2024";"Waterski";"INTER";"L";"FRA";"Frozen Magic JG";"";"Nemours Grez/l...";"24FRA003";"";"https://ems.iwwf.sport/Competitions/Details?Id=80685e9b-69cc-4e5a-84fc-cead312d92d1"
"11-12 May 2024";"Waterski";"INTER";"L";"FRA";"Magic Cup";"";"Nemours Grez/l...";"24FRA004";"";"https://ems.iwwf.sport/Competitions/Details?Id=73545bbe-cced-47cd-9189-96379b48cd3c"
"29-30 Jun 2024";"Waterski";"INTER";"L";"FRA";"LE PLAN D'EAU 3D JUIN";"";"Club Omnisport...";"24FRA005";"";"https://ems.iwwf.sport/Competitions/Details?Id=7be95fd1-8102-4e5f-981f-52a9b2c2fd85"
"6-7 Jul 2024";"Waterski";"INTER";"L";"FRA";"Ski Caraibes SLALOM CUP 2024";"";"Ski Caraibes A...";"24FRA007";"";"https://ems.iwwf.sport/Competitions/Details?Id=67978ffc-c232-44d6-b808-2cd6d18dd3fa"
"27-28 Jul 2024";"Waterski";"INTER";"L";"FRA";"Grand Prix de Marcillac - Championnat de Ligue NAQUA";"";"Ski Club Nauti...";"24FRA008";"";"https://ems.iwwf.sport/Competitions/Details?Id=c8ed92a2-f956-4e7f-8f69-9307c155d2a9"
"15-16 Jun 2024";"Waterski";"INTER";"L";"FRA";"BORDEAUX SLALOM CUP";"";"Ski Nautique C...";"24FRA009";"";"https://ems.iwwf.sport/Competitions/Details?Id=e8b807d5-e072-4ab1-b1d8-656cc90095a0"
"12-13 Oct 2024";"Waterski";"INTER";"L";"FRA";"BAURECH CLASSIC";"";"Ski Nautique C...";"24FRA010";"";"https://ems.iwwf.sport/Competitions/Details?Id=056a322c-58f4-499a-a528-88fa4018627f"
"7-8 Sep 2024";"Waterski";"INTER";"L";"FRA";"Championnat Ligue Grand Est et Coupe Richard Odin";"";"Club Nautique ...";"24FRA012";"";"https://ems.iwwf.sport/Competitions/Details?Id=535a3908-cde2-4eef-8bfe-bd961fc169ec"
"27-28 Jul 2024";"Waterski";"NAT";"L";"FRA";"Championnats de ligue BFC";"";"Association Sp...";"24FRA013";"";"https://ems.iwwf.sport/Competitions/Details?Id=077a3005-8610-44c3-8340-2edc43272017"
"2-4 Aug 2024";"Waterski";"INTER";"L";"FRA";"Coupe de Meuzac";"";"BEACH SKI ACAD...";"24FRA016";"";"https://ems.iwwf.sport/Competitions/Details?Id=33205f74-fd6b-41cf-a02a-99f8d176821a"
"31 Aug - 1 Sep 2024";"Waterski";"INTER";"L";"FRA";"Coupe du pays de Montbéliard";"";"Ski nautique M...";"24FRA017";"";"https://ems.iwwf.sport/Competitions/Details?Id=40c7d8ee-9963-410b-b6d8-b7bbdfa24837"
"6-7 Jul 2024";"Waterski";"INTER";"L";"FRA";"LACANAU SKI CLASSIC 3D";"";"Lacanau Ski Cl...";"24FRA018";"";"https://ems.iwwf.sport/Competitions/Details?Id=fec7a50e-21fe-431e-89a7-bad41d41108f"
