"Date";"Discipline";"Type";"Homol.";"Country";"Name";"";"Site";"EMS Code";"Nat. Code"
"16-17 May 2026";"Waterski";"INTER";"L";"FRA";"Magic Cup 2026";"";"Nemours Grez/l...";"26FRA003";""
"30-31 May 2026";"Waterski";"INTER";"L";"FRA";"Trick Tours Contest";"";"Touraine Ski ...";"26FRA032";""
"6-7 Jun 2026";"Waterski";"INTER";"L";"FRA";"BEACH SKI ACADEMY CUP - Meuzac";"";"BEACH SKI ACAD...";"26FRA012";""
"13-14 Jun 2026 CANCELLED";"Waterski";"INTER";"L";"FRA";"BAURECH SLALOM CUP RL / 4 RDS";"";"Windsor Ski Cl...";"26FRA008";""
"13-14 Jun 2026";"Waterski";"INTER";"L";"FRA";"Le Trophée d'Arc - 3D";"";"Arc sur Tille";"26FRA007";""
"14 Jun 2026 CANCELLED";"Waterski";"NAT";"N";"FRA";"Championnat de Ligue IDF 2026";"";"Club Nautique ...";"26FRA050";""
"20-21 Jun 2026";"Waterski";"INTER";"R";"FRA";"THE FUNGLISS PRO AM";"";"FUNGLISS DOMMA...";"26FRA002";""
"26 Jun 2026 CANCELLED";"Waterski";"INTER";"L";"FRA";"Aquacup 3SL";"";"Aqu'Aventure";"26FRA044";""
"26-28 Jun 2026";"Waterski";"INTER";"L";"FRA";"Ski Caraibes Slalom & Tricks";"";"Albertville";"26FRA014";""
"27-28 Jun 2026";"Waterski";"INTER";"L";"FRA";"LE PLAN D'EAU 3D 1/2";"";"Club Omnisport...";"26FRA018";""
"4-5 Jul 2026";"Waterski";"INTER";"L";"FRA";"Vinney's Cup 26";"";"Ski Nautique C...";"26FRA022";""
"4-5 Jul 2026";"Waterski";"INTER";"L";"FRA";"ADB & Senior Tour 2026";"";"Arc sur Tille";"26FRA026";""
"4-5 Jul 2026";"Waterski";"INTER";"L";"FRA";"MALIBU OPEN LACANAU";"";"Lacanau pitrot";"26FRA005";""
"11-12 Jul 2026";"Waterski";"NatCH";"L";"FRA";"Championnat de France SENIOR 2026";"";"Ski Nautique C...";"26FRA041";""
"17-19 Jul 2026";"Waterski";"NatCH";"R";"FRA";"Championnat de France U21 + OPEN";"";"Jaumard";"26FRA021";""
"17-19 Jul 2026";"Waterski";"NatCH";"L";"FRA";"Championnat de France RELEVES 2026";"";"Jaumard";"26FRA020";""
"25-26 Jul 2026";"Waterski";"INTER";"L";"FRA";"GRAND PRIX DE MARCILLAC";"";"Marcillac la C...";"26FRA013";""
"1-2 Aug 2026";"Waterski";"INTER";"L";"FRA";"BAURECH SLALOM CUP 2026";"";"Windsor Ski Cl...";"26FRA027";""
"1-2 Aug 2026";"Waterski";"INTER";"L";"FRA";"Championnats de Ligue BFC";"";"ASSOCIATION SP...";"26FRA023";""
"1-2 Aug 2026";"Waterski";"INTER";"L";"FRA";"Biggie's International";"";"Ezylake";"26FRA039";""
"15-16 Aug 2026";"Waterski";"INTER";"L";"FRA";"Layrac 3D";"";"LAYRAC";"26FRA009";""
"22-23 Aug 2026";"Waterski";"INTER";"L";"FRA";"Austin's Cup 26";"";"Ski Nautique C...";"26FRA030";""
"22-23 Aug 2026";"Waterski";"INTER";"L";"FRA";"Magic Trophy";"";"Nemours Grez/l...";"26FRA035";""
"22-23 Aug 2026";"Waterski";"INTER";"L";"FRA";"Coupe de Saint-Pardoux";"";"St Pardoux";"26FRA042";""
"29-30 Aug 2026";"Waterski";"INTER";"L";"FRA";"Championnat Ligue NAQU Mémorial M. NAUDINAT et JF. RAPP";"";"Bombannes";"26FRA015";""
"29-30 Aug 2026";"Waterski";"INTER";"L";"FRA";"Coupe du pays de Montbéliard";"";"Ski nautique M...";"26FRA029";""
"29-30 Aug 2026";"Waterski";"INTER";"L";"FRA";"FUNGLISS";"";"FUNGLISS DOMMA...";"26FRA017";""
"5-6 Sep 2026";"Waterski";"INTER";"L";"FRA";"LACANAU SKI CLASSIC";"";"Lacanau pitrot";"26FRA006";""
"5-6 Sep 2026";"Waterski";"INTER";"L";"FRA";"Legends of Ezylake";"";"Ezylake";"26FRA040";""
"5-6 Sep 2026";"Waterski";"INTER";"L";"FRA";"Championnat Ligue Grand Est et Coupe Richard Odin";"";"Club Nautique ...";"26FRA046";""
"5-6 Sep 2026";"Waterski";"INTER";"L";"FRA";"Championnat de ligue OCC Ski Classique";"";"Moissac";"26FRA034";""
"12-13 Sep 2026";"Waterski";"INTER";"L";"FRA";"Viry lake's challenge 8#";"";"Club Nautique ...";"26FRA004";""
"18-20 Sep 2026";"Waterski";"INTER";"L";"FRA";"Championnats de Ligue AURA";"";"Ski Caraibes A...";"26FRA016";""
"19-20 Sep 2026";"Waterski";"INTER";"L";"FRA";"Magic Ski Time";"";"Nemours Grez/l...";"26FRA028";""
"19-20 Sep 2026";"Waterski";"INTER";"L";"FRA";"Jano's Cup 26";"";"Ski Nautique C...";"26FRA031";""
"26-27 Sep 2026";"Waterski";"INTER";"L";"FRA";"LAYRAC FALL CLASSIC";"";"LAYRAC";"26FRA010";""
"3-4 Oct 2026";"Waterski";"INTER";"L";"FRA";"LE PLAN D'EAU 3D 2026 2/2";"";"Club Omnisport...";"26FRA019";""
"10-11 Oct 2026";"Waterski";"INTER";"L";"FRA";"BAURECH Slalom Series / EUROPEAN FINAL SENIOR TOUR";"";"Windsor Ski Cl...";"26FRA011";""
"24-25 Oct 2026";"Waterski";"INTER";"L";"FRA";"Frozen Magic JG";"";"Nemours Grez/l...";"26FRA001";""
