"Date";"Discipline";"Type";"Homol.";"Country";"Name";"Colonne_7";"Site";"EMS Code";"Nat. Code";"CompetitionUrl"
"29-30 Aug 2026";"Waterski";"INTER";"L";"FRA";"Coupe du pays de Montbéliard";"";"Ski nautique M...";"26FRA029";"";"https://ems.iwwf.sport/Competitions/Details?Id=21e2ff53-8255-4a46-bcbd-cc7c759dd708"
"29-30 Aug 2026";"Waterski";"INTER";"L";"FRA";"FUNGLISS";"";"FUNGLISS DOMMA...";"26FRA017";"";"https://ems.iwwf.sport/Competitions/Details?Id=8687dd4a-ef0d-4193-890b-d646a4d9f3a6"
"5-6 Sep 2026";"Waterski";"INTER";"L";"FRA";"LACANAU SKI CLASSIC";"";"Lacanau pitrot";"26FRA006";"";"https://ems.iwwf.sport/Competitions/Details?Id=260c6305-cbf4-444d-aaf7-26215388ab5d"
"5-6 Sep 2026";"Waterski";"INTER";"L";"FRA";"Legends of Ezylake";"";"Ezylake";"26FRA040";"";"https://ems.iwwf.sport/Competitions/Details?Id=bb1488dc-80bb-4a04-ab2d-27c7146c2309"
"5-6 Sep 2026";"Waterski";"INTER";"L";"FRA";"Championnat Ligue Grand Est et Coupe Richard Odin";"";"Club Nautique ...";"26FRA046";"";"https://ems.iwwf.sport/Competitions/Details?Id=6a4e17f0-f11d-43a3-a0cd-6b9a64325748"
"5-6 Sep 2026";"Waterski";"INTER";"L";"FRA";"Championnat de ligue OCC Ski Classique";"";"Moissac";"26FRA034";"";"https://ems.iwwf.sport/Competitions/Details?Id=c8fa6fb4-c112-49f3-ae6e-757e970ca6c9"
"12-13 Sep 2026";"Waterski";"INTER";"L";"FRA";"Viry lake's challenge 8#";"";"Club Nautique ...";"26FRA004";"";"https://ems.iwwf.sport/Competitions/Details?Id=577edf5b-4074-4b60-bd19-91319d452384"
"18-20 Sep 2026";"Waterski";"INTER";"L";"FRA";"Championnats de Ligue AURA";"";"Ski Caraibes A...";"26FRA016";"";"https://ems.iwwf.sport/Competitions/Details?Id=42189628-d928-40ff-aa32-7c50bbba4d15"
"19-20 Sep 2026";"Waterski";"INTER";"L";"FRA";"Magic Ski Time";"";"Nemours Grez/l...";"26FRA028";"";"https://ems.iwwf.sport/Competitions/Details?Id=c0239ead-d70c-4902-b4b3-11ac31102ecf"
"19-20 Sep 2026";"Waterski";"INTER";"L";"FRA";"Jano's Cup 26";"";"Ski Nautique C...";"26FRA031";"";"https://ems.iwwf.sport/Competitions/Details?Id=42870567-ace6-4875-ac01-700a5b165f15"
"26-27 Sep 2026";"Waterski";"INTER";"L";"FRA";"LAYRAC FALL CLASSIC";"";"LAYRAC";"26FRA010";"";"https://ems.iwwf.sport/Competitions/Details?Id=25461bc9-94fa-4514-9d1c-b7083303dcaf"
"3-4 Oct 2026";"Waterski";"INTER";"L";"FRA";"LE PLAN D'EAU 3D 2026 2/2";"";"Club Omnisport...";"26FRA019";"";"https://ems.iwwf.sport/Competitions/Details?Id=43d685dc-2b94-4eeb-ad47-e10a0a7b488d"
"10-11 Oct 2026";"Waterski";"INTER";"L";"FRA";"BAURECH Slalom Series / EUROPEAN FINAL SENIOR TOUR";"";"Windsor Ski Cl...";"26FRA011";"";"https://ems.iwwf.sport/Competitions/Details?Id=524fe686-d343-4dea-abad-249e1ed2b89c"
"24-25 Oct 2026";"Waterski";"INTER";"L";"FRA";"Frozen Magic JG";"";"Nemours Grez/l...";"26FRA001";"";"https://ems.iwwf.sport/Competitions/Details?Id=a8a53774-ae41-4597-b408-3355a74a6ec9"
