"Date";"Discipline";"Type";"Homol.";"Country";"Name";"";"Site";"EMS Code";"Nat. Code"
"31 May - 1 Jun 2025";"Waterski";"INTER";"L";"FRA";"Magic Cup";"";"Nemours Grez/l...";"25FRA008";""
"7-8 Jun 2025";"Waterski";"INTER";"L";"FRA";"Ezylake's cup";"";"Ezylake";"25FRA021";""
"14-15 Jun 2025";"Waterski";"INTER";"L";"FRA";"Tours 3D Event - Championnat de ligue CVL";"";"Touraine Ski ...";"25FRA023";""
"14-15 Jun 2025";"Waterski";"INTER";"L";"FRA";"BAURECH Slalom CUP / 4 RDS";"";"Windsor Ski Cl...";"25FRA030";""
"21-22 Jun 2025";"Waterski";"INTER";"R";"FRA";"THE FUNGLISS PRO AM";"";"FUNGLISS DOMMA...";"25FRA001";""
"28-29 Jun 2025";"Waterski";"INTER";"L";"FRA";"Le Trophée d'Arc";"";"Club Arc Dijon...";"25FRA011";""
"28-29 Jun 2025";"Waterski";"INTER";"L";"FRA";"LE PLAN D'EAU 3D 1/2 30ème anniversaire";"";"Club Omnisport...";"25FRA013";""
"4 Jul 2025";"Waterski";"INTER";"L";"FRA";"Aquacup (2+1)";"";"Aqu'Aventure";"25FRA022";""
"5-6 Jul 2025";"Waterski";"INTER";"L";"FRA";"Vinney's Cup 25";"";"Ski Nautique C...";"25FRA027";""
"5-6 Jul 2025";"Waterski";"INTER";"L";"FRA";"MALIBU OPEN";"";"Lacanau Ski Cl...";"25FRA005";""
"5-6 Jul 2025 CANCELLED";"Waterski";"INTER";"L";"FRA";"Ski Caraibes Slalom Cup";"";"Ski Caraibes A...";"25FRA012";""
"10-11 Jul 2025";"Waterski";"NatCH";"L";"FRA";"Championnat de France RELEVES 2025";"";"Ski nautique M...";"25FRA016";""
"12-13 Jul 2025";"Waterski";"NatCH";"R";"FRA";"Championnat de France U21 + OPEN";"";"Ski nautique M...";"25FRA206";""
"19-20 Jul 2025";"Waterski";"NatCH";"L";"FRA";"Championnat de France SENIOR 2025";"";"Ski Club Nauti...";"25FRA018";""
"26-27 Jul 2025";"Waterski";"INTER";"L";"FRA";"Magic Challenge";"";"Nemours Grez/l...";"25FRA010";""
"2-3 Aug 2025";"Waterski";"INTER";"L";"FRA";"Championnats du mont de Laroche";"";"Association Sp...";"25FRA019";""
"2-3 Aug 2025";"Waterski";"INTER";"L";"FRA";"BAURECH 3 EVENTS- RL 3 RDS/ Events";"";"Windsor Ski Cl...";"25FRA031";""
"23-24 Aug 2025";"Waterski";"INTER";"L";"FRA";"Austin's Cup 25";"";"Ski Nautique C...";"25FRA028";""
"23-24 Aug 2025";"Waterski";"INTER";"L";"FRA";"Biggie's International + senior tour stop 4";"";"Ezylake";"25FRA024";""
"30-31 Aug 2025";"Waterski";"INTER";"L";"FRA";"Coupe du pays de Montbeliard- Championnat Ligue BFC";"";"Ski nautique M...";"25FRA026";""
"30-31 Aug 2025 CANCELLED";"Waterski";"INTER";"L";"FRA";"Championnat de ligue OCC Ski Classique";"";"Moissac";"25FRA015";""
"6-7 Sep 2025";"Waterski";"INTER";"L";"FRA";"New !!! Championnats de Ligue NAQU Mémorial Michel Naudinat";"";"Lacanau Ski Cl...";"25FRA217";""
"6-7 Sep 2025 CANCELLED";"Waterski";"INTER";"L";"FRA";"Ch Ligue Nouvelle-Aquitaine Mémorial Michel NAUDINAT";"";"Lacanau pitrot";"25FRA213";""
"13-14 Sep 2025";"Waterski";"INTER";"L";"FRA";"Legends of Ezylake";"";"Ezylake";"25FRA025";""
"13-14 Sep 2025";"Waterski";"INTER";"L";"FRA";"LACANAU SKI CLASSIC";"";"Lacanau Ski Cl...";"25FRA006";""
"13-14 Sep 2025";"Waterski";"INTER";"L";"FRA";"Championnat Ligue Grand Est et Coupe Richard Odin";"";"Club Nautique ...";"25FRA037";""
"20-21 Sep 2025";"Waterski";"INTER";"L";"FRA";"Viry Lake's challenge #7";"";"Club Nautique ...";"25FRA002";""
"20-21 Sep 2025";"Waterski";"INTER";"L";"FRA";"Jano's Cup 25";"";"Ski Nautique C...";"25FRA029";""
"27-28 Sep 2025";"Waterski";"INTER";"L";"FRA";"Magic Ski Time";"";"Nemours Grez/l...";"25FRA009";""
"27-28 Sep 2025 CANCELLED";"Waterski";"INTER";"L";"FRA";"Layrac Slalom Cup";"";"LAYRAC";"25FRA036";""
"3-4 Oct 2025";"Waterski";"INTER";"L";"FRA";"Championnat de Ligue AURA 2025";"";"Ski Caraibes A...";"25FRA208";""
"4-5 Oct 2025";"Waterski";"INTER";"L";"FRA";"LE PLAN D'EAU 3D 2/2 30ème anniversaire";"";"Club Omnisport...";"25FRA014";""
"11-12 Oct 2025";"Waterski";"INTER";"L";"FRA";"BAURECH SLALOM SERIES 4RD";"";"Windsor Ski Cl...";"25FRA032";""
